"ourCategory","title","option","value","priceDelta","url"
"business-cards","Uncoated Business Cards","Shape","Standard","0","https://www.vistaprint.com/business-cards/uncoated"
"business-cards","Uncoated Business Cards","Shape","Square","11","https://www.vistaprint.com/business-cards/uncoated"
"business-cards","Uncoated Business Cards","Corners","Standard","0","https://www.vistaprint.com/business-cards/uncoated"
"business-cards","Uncoated Business Cards","Corners","Rounded","7","https://www.vistaprint.com/business-cards/uncoated"
"business-cards","Rounded Corner Business Cards","Shape","Select...","0","https://www.vistaprint.com/business-cards/rounded-corner"
"other","Packaging Insert Cards","Orientation","Horizontal","0","https://www.vistaprint.com/marketing-materials/packaging-inserts"
"other","Packaging Insert Cards","Paper Thickness","Standard","0","https://www.vistaprint.com/marketing-materials/packaging-inserts"
"other","Packaging Insert Cards","Paper Stock","Glossy (front only)","0","https://www.vistaprint.com/marketing-materials/packaging-inserts"
"other","Packaging Insert Cards","Corners","Standard","0","https://www.vistaprint.com/marketing-materials/packaging-inserts"
"marketing-materials","Standard Postcards","Product Orientation","Horizontal","0","https://www.vistaprint.com/marketing-materials/standard-postcards"
"marketing-materials","Standard Postcards","Product Orientation","Vertical","0","https://www.vistaprint.com/marketing-materials/standard-postcards"
"marketing-materials","Standard Postcards","Size","4.2"" x 5.5""","0","https://www.vistaprint.com/marketing-materials/standard-postcards"
"marketing-materials","Rounded Corner Postcards","Size","4.2"" x 5.5""","0","https://www.vistaprint.com/marketing-materials/rounded-corner-postcards"
"marketing-materials","Postcard Mailing Services","Estimated quantity","50 Recipients","0","https://www.vistaprint.com/marketing-materials/mailing-services-postcards"
"other","Saddle-Stitch Booklets","Size","5"" x 7""","0","https://www.vistaprint.com/marketing-materials/booklets/saddle-stitch"
"other","Saddle-Stitch Booklets","Product Orientation","Portrait","0","https://www.vistaprint.com/marketing-materials/booklets/saddle-stitch"
"other","Saddle-Stitch Booklets","Page Count","8p (cover + 4 inside)","0","https://www.vistaprint.com/marketing-materials/booklets/saddle-stitch"
"other","Saddle-Stitch Booklets","Binding Placement","Left Side","0","https://www.vistaprint.com/marketing-materials/booklets/saddle-stitch"
"other","Saddle-Stitch Booklets","Inside Paper","Select...","0","https://www.vistaprint.com/marketing-materials/booklets/saddle-stitch"
"other","Saddle-Stitch Booklets","Cover Paper","Select...","0","https://www.vistaprint.com/marketing-materials/booklets/saddle-stitch"
"other","Wire-Bound Booklets","Size","8.5"" x 11""","0","https://www.vistaprint.com/marketing-materials/booklets/wire-bound"
"other","Wire-Bound Booklets","Orientation","Portrait","0","https://www.vistaprint.com/marketing-materials/booklets/wire-bound"
"other","Wire-Bound Booklets","Orientation","Landscape","0","https://www.vistaprint.com/marketing-materials/booklets/wire-bound"
"other","Wire-Bound Booklets","Binding Placement","Left Side","0","https://www.vistaprint.com/marketing-materials/booklets/wire-bound"
"other","Wire-Bound Booklets","Binding Placement","Top","0","https://www.vistaprint.com/marketing-materials/booklets/wire-bound"
"other","Wire-Bound Booklets","Cover Paper Stock","Standard Matte (80lb Text)","0","https://www.vistaprint.com/marketing-materials/booklets/wire-bound"
"other","Wire-Bound Booklets","Inside Paper Stock","Standard Matte (80lb Text)","0","https://www.vistaprint.com/marketing-materials/booklets/wire-bound"
"other","Perfect-Bound Booklets","Size","8.5"" x 11""","0","https://www.vistaprint.com/marketing-materials/booklets/perfect-bound-booklets"
"other","Perfect-Bound Booklets","Orientation","Landscape","0","https://www.vistaprint.com/marketing-materials/booklets/perfect-bound-booklets"
"other","Perfect-Bound Booklets","Orientation","Portrait","0","https://www.vistaprint.com/marketing-materials/booklets/perfect-bound-booklets"
"other","Perfect-Bound Booklets","Inside Paper","Select...","0","https://www.vistaprint.com/marketing-materials/booklets/perfect-bound-booklets"
"other","Perfect-Bound Booklets","Cover Paper","Select...","0","https://www.vistaprint.com/marketing-materials/booklets/perfect-bound-booklets"
"other","Perfect-Bound Booklets","Cover Paper Lamination","None","0","https://www.vistaprint.com/marketing-materials/booklets/perfect-bound-booklets"
"other","Self-Cover Booklets","Size","5"" x 7""","0","https://www.vistaprint.com/marketing-materials/booklets/self-cover-booklets"
"other","Self-Cover Booklets","Product Orientation","Portrait","0","https://www.vistaprint.com/marketing-materials/booklets/self-cover-booklets"
"other","Self-Cover Booklets","Page Count","8p (cover + 4 inside)","0","https://www.vistaprint.com/marketing-materials/booklets/self-cover-booklets"
"other","Self-Cover Booklets","Binding Placement","Left Side","0","https://www.vistaprint.com/marketing-materials/booklets/self-cover-booklets"
"other","Self-Cover Booklets","Paper Stock","Budget Glossy (70lb Text)","0","https://www.vistaprint.com/marketing-materials/booklets/self-cover-booklets"
"stationery","Self-Inking Stamps","Size","Small (1.42"" x 0.47"")","0","https://www.vistaprint.com/stationery/stamps/self-inking-stamps"
"stationery","Self-Inking Stamps","Size","Medium (2.24"" x 0.83"")","4","https://www.vistaprint.com/stationery/stamps/self-inking-stamps"
"stationery","Self-Inking Stamps","Size","Large (3.00"" x 1.50"")","8","https://www.vistaprint.com/stationery/stamps/self-inking-stamps"
"stationery","Self-Inking Stamps","Ink Color","Black","0","https://www.vistaprint.com/stationery/stamps/self-inking-stamps"
"stationery","Self-Inking Stamps","Ink Color","Blue","0","https://www.vistaprint.com/stationery/stamps/self-inking-stamps"
"stationery","Self-Inking Stamps","Ink Color","Red","0","https://www.vistaprint.com/stationery/stamps/self-inking-stamps"
"stickers-labels","Sticker Singles","Shape","Circle","0","https://www.vistaprint.com/labels-stickers/custom-stickers/single-stickers"
"stickers-labels","Sticker Singles","Size","2"" x 2""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/single-stickers"
"stickers-labels","Sticker Singles","Material","White Plastic (BOPP)","0","https://www.vistaprint.com/labels-stickers/custom-stickers/single-stickers"
"stickers-labels","Sticker Singles","Product Orientation","Select...","0","https://www.vistaprint.com/labels-stickers/custom-stickers/single-stickers"
"stickers-labels","Die-Cut Sticker Singles","Size","2"" x 2""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Size","2.5"" x 2.5""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Size","3"" x 3""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Size","3.5"" x 3.5""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Size","4"" x 4""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Size","4.5"" x 4.5""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Size","5"" x 5""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Material","White Plastic (BOPP)","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Material","White Paper","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Material","Clear Plastic (BOPP)","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","Material","Holographic (BOPP)","0","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Kiss-Cut Stickers","Size","3"" x 3""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/kiss-cut-stickers"
"stickers-labels","Kiss-Cut Stickers","Size","3.5"" x 3.5""","7","https://www.vistaprint.com/labels-stickers/custom-stickers/kiss-cut-stickers"
"stickers-labels","Kiss-Cut Stickers","Size","4"" x 4""","15","https://www.vistaprint.com/labels-stickers/custom-stickers/kiss-cut-stickers"
"stickers-labels","Kiss-Cut Stickers","Size","4.5""x4.5""","24","https://www.vistaprint.com/labels-stickers/custom-stickers/kiss-cut-stickers"
"stickers-labels","Kiss-Cut Stickers","Size","5""x 5""","34","https://www.vistaprint.com/labels-stickers/custom-stickers/kiss-cut-stickers"
"stickers-labels","Kiss-Cut Stickers","Material","White Plastic","0","https://www.vistaprint.com/labels-stickers/custom-stickers/kiss-cut-stickers"
"stickers-labels","Kiss-Cut Stickers","Material","Clear Plastic","3.15","https://www.vistaprint.com/labels-stickers/custom-stickers/kiss-cut-stickers"
"stickers-labels","Sheet Stickers","Shape","Custom (Die-Cut)","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"
"stickers-labels","Sheet Stickers","Shape","Circle","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"
"stickers-labels","Sheet Stickers","Shape","Oval","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"
"stickers-labels","Sheet Stickers","Shape","Rounded Rectangle","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"
"stickers-labels","Sheet Stickers","Shape","Rounded Square","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"