"ourCategory","title","quantity","totalPrice","perUnit","url"
"business-cards","Matte Business Cards","50","10","0.2","https://www.vistaprint.com/business-cards/matte"
"business-cards","Matte Business Cards","100","14.99","0.15","https://www.vistaprint.com/business-cards/matte"
"business-cards","Matte Business Cards","250","19.99","0.08","https://www.vistaprint.com/business-cards/matte"
"business-cards","Matte Business Cards","500","24.99","0.05","https://www.vistaprint.com/business-cards/matte"
"business-cards","Matte Business Cards","1000","39.99","0.04","https://www.vistaprint.com/business-cards/matte"
"business-cards","Glossy Business Cards","50","10","0.2","https://www.vistaprint.com/business-cards/glossy"
"business-cards","Glossy Business Cards","100","15.99","0.16","https://www.vistaprint.com/business-cards/glossy"
"business-cards","Glossy Business Cards","250","21.99","0.09","https://www.vistaprint.com/business-cards/glossy"
"business-cards","Glossy Business Cards","500","27.99","0.06","https://www.vistaprint.com/business-cards/glossy"
"business-cards","Glossy Business Cards","1000","45.99","0.05","https://www.vistaprint.com/business-cards/glossy"
"business-cards","Uncoated Business Cards","100","15.99","0.16","https://www.vistaprint.com/business-cards/uncoated"
"business-cards","Rounded Corner Business Cards","50","16","0.32","https://www.vistaprint.com/business-cards/rounded-corner"
"business-cards","Rounded Corner Business Cards","100","22.99","0.23","https://www.vistaprint.com/business-cards/rounded-corner"
"business-cards","Rounded Corner Business Cards","250","31.99","0.13","https://www.vistaprint.com/business-cards/rounded-corner"
"business-cards","Rounded Corner Business Cards","500","39.99","0.08","https://www.vistaprint.com/business-cards/rounded-corner"
"business-cards","Rounded Corner Business Cards","1000","65.99","0.07","https://www.vistaprint.com/business-cards/rounded-corner"
"other","Packaging Insert Cards","100","41.99","0.42","https://www.vistaprint.com/marketing-materials/packaging-inserts"
"marketing-materials","Standard Postcards","100","21.99","0.22","https://www.vistaprint.com/marketing-materials/standard-postcards"
"marketing-materials","Rounded Corner Postcards","100","31.99","0.32","https://www.vistaprint.com/marketing-materials/rounded-corner-postcards"
"marketing-materials","Die-Cut Postcards","100","74.99","0.75","https://www.vistaprint.com/marketing-materials/die-cut-postcards"
"marketing-materials","Postcard Mailing Services","50","55.99","1.12","https://www.vistaprint.com/marketing-materials/mailing-services-postcards"
"other","Saddle-Stitch Booklets","1","5.99","5.99","https://www.vistaprint.com/marketing-materials/booklets/saddle-stitch"
"other","Wire-Bound Booklets","1","41.99","41.99","https://www.vistaprint.com/marketing-materials/booklets/wire-bound"
"other","Perfect-Bound Booklets","1","15","15","https://www.vistaprint.com/marketing-materials/booklets/perfect-bound-booklets"
"other","Self-Cover Booklets","1","5.99","5.99","https://www.vistaprint.com/marketing-materials/booklets/self-cover-booklets"
"other","Custom Tickets","50","22.99","0.46","https://www.vistaprint.com/marketing-materials/custom-tickets"
"stationery","Gift Certificates","20","14.99","0.75","https://www.vistaprint.com/stationery/gift-certificates"
"other","Custom Bookmarks","200","66","0.33","https://www.vistaprint.com/marketing-materials/bookmarks"
"stationery","Company Letterhead","250","149.99","0.6","https://www.vistaprint.com/stationery/letterhead"
"other","Free Business Sample Kit","1","0","0","https://www.vistaprint.com/sample-kits/business-sample-kit"
"stationery","Self-Inking Stamps","1","12.99","12.99","https://www.vistaprint.com/stationery/stamps/self-inking-stamps"
"stationery","Presentation Folders","100","314.99","3.15","https://www.vistaprint.com/marketing-materials/presentation-folders"
"signs-banners","Triangular Point of Sale Displays","1","99.99","99.99","https://www.vistaprint.com/signs-banners/triangular-point-of-sale-displays"
"signs-banners","Triangular Point of Sale Displays","2","177.77","88.89","https://www.vistaprint.com/signs-banners/triangular-point-of-sale-displays"
"signs-banners","Triangular Point of Sale Displays","3","255.55","85.19","https://www.vistaprint.com/signs-banners/triangular-point-of-sale-displays"
"signs-banners","Triangular Point of Sale Displays","4","333.33","83.34","https://www.vistaprint.com/signs-banners/triangular-point-of-sale-displays"
"signs-banners","Triangular Point of Sale Displays","5","411.11","82.23","https://www.vistaprint.com/signs-banners/triangular-point-of-sale-displays"
"stickers-labels","Sticker Singles","200","103.99","0.52","https://www.vistaprint.com/labels-stickers/custom-stickers/single-stickers"
"stickers-labels","Die-Cut Sticker Singles","10","10","1","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Die-Cut Sticker Singles","200","103.99","0.52","https://www.vistaprint.com/labels-stickers/custom-stickers/die-cut-sticker-singles"
"stickers-labels","Kiss-Cut Stickers","25","45","1.8","https://www.vistaprint.com/labels-stickers/custom-stickers/kiss-cut-stickers"
"stickers-labels","Sheet Stickers","144","24.99","0.18","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"