"title","quantity","totalPrice","perUnit","url"
"Matte Business Cards","50","10","0.2","https://www.vistaprint.com/business-cards/matte"
"Matte Business Cards","100","14.99","0.15","https://www.vistaprint.com/business-cards/matte"
"Matte Business Cards","250","19.99","0.08","https://www.vistaprint.com/business-cards/matte"
"Matte Business Cards","500","24.99","0.05","https://www.vistaprint.com/business-cards/matte"
"Matte Business Cards","1000","39.99","0.04","https://www.vistaprint.com/business-cards/matte"
"Glossy Business Cards","50","10","0.2","https://www.vistaprint.com/business-cards/glossy"
"Glossy Business Cards","100","15.99","0.16","https://www.vistaprint.com/business-cards/glossy"
"Glossy Business Cards","250","21.99","0.09","https://www.vistaprint.com/business-cards/glossy"
"Glossy Business Cards","500","27.99","0.06","https://www.vistaprint.com/business-cards/glossy"
"Glossy Business Cards","1000","45.99","0.05","https://www.vistaprint.com/business-cards/glossy"
"Uncoated Business Cards","100","15.99","0.16","https://www.vistaprint.com/business-cards/uncoated"
"Rounded Corner Business Cards","50","16","0.32","https://www.vistaprint.com/business-cards/rounded-corner"
"Rounded Corner Business Cards","100","22.99","0.23","https://www.vistaprint.com/business-cards/rounded-corner"
"Rounded Corner Business Cards","250","31.99","0.13","https://www.vistaprint.com/business-cards/rounded-corner"
"Rounded Corner Business Cards","500","39.99","0.08","https://www.vistaprint.com/business-cards/rounded-corner"
"Rounded Corner Business Cards","1000","65.99","0.07","https://www.vistaprint.com/business-cards/rounded-corner"
"Square Business Cards","50","18","0.36","https://www.vistaprint.com/business-cards/square"
"Square Business Cards","100","26.99","0.27","https://www.vistaprint.com/business-cards/square"
"Square Business Cards","250","35.99","0.15","https://www.vistaprint.com/business-cards/square"
"Square Business Cards","500","45.99","0.1","https://www.vistaprint.com/business-cards/square"
"Square Business Cards","1000","70.99","0.08","https://www.vistaprint.com/business-cards/square"
"Circle Business Cards","50","39.99","0.8","https://www.vistaprint.com/business-cards/circle"