"ourSlug","title","option","value","priceDelta","url"
"posters","Custom Posters","Orientation","Horizontal","0","https://www.vistaprint.com/signs-posters/posters"
"posters","Custom Posters","Orientation","Vertical","0","https://www.vistaprint.com/signs-posters/posters"
"posters","Custom Posters","Paper Stock","Semi-Gloss","0","https://www.vistaprint.com/signs-posters/posters"
"postcards","Standard Postcards","Product Orientation","Horizontal","0","https://www.vistaprint.com/marketing-materials/standard-postcards"
"postcards","Standard Postcards","Product Orientation","Vertical","0","https://www.vistaprint.com/marketing-materials/standard-postcards"
"postcards","Standard Postcards","Size","4.2"" x 5.5""","0","https://www.vistaprint.com/marketing-materials/standard-postcards"
"vinyl-banner","Vinyl Banners","Product Orientation","Horizontal","0","https://www.vistaprint.com/signs-banners/vinyl-banners"
"vinyl-banner","Vinyl Banners","Product Orientation","Vertical","0","https://www.vistaprint.com/signs-banners/vinyl-banners"
"vinyl-banner","Vinyl Banners","Size","Custom","0","https://www.vistaprint.com/signs-banners/vinyl-banners"
"vinyl-banner","Vinyl Banners","Printed Sides","Single-Sided","0","https://www.vistaprint.com/signs-banners/vinyl-banners"
"yard-signs","Yard Signs","Orientation","Horizontal","0","https://www.vistaprint.com/signs-banners/yard-signs"
"yard-signs","Yard Signs","Orientation","Vertical","0","https://www.vistaprint.com/signs-banners/yard-signs"
"yard-signs","Yard Signs","Grommets","Grommets","0","https://www.vistaprint.com/signs-banners/yard-signs"
"yard-signs","Yard Signs","Grommets","No Grommets","0","https://www.vistaprint.com/signs-banners/yard-signs"
"window-decals","Window Decals","Shapes","Custom","0","https://www.vistaprint.com/signs-banners/window-decals"
"window-decals","Window Decals","Shapes","Square/Rectangular","0","https://www.vistaprint.com/signs-banners/window-decals"
"window-decals","Window Decals","Shapes","Circle/Oval","0","https://www.vistaprint.com/signs-banners/window-decals"
"window-decals","Window Decals","Film Color","Clear","0","https://www.vistaprint.com/signs-banners/window-decals"
"window-decals","Window Decals","Film Color","White","0","https://www.vistaprint.com/signs-banners/window-decals"
"custom-stickers","Sticker Singles","Shape","Circle","0","https://www.vistaprint.com/labels-stickers/custom-stickers/single-stickers"
"custom-stickers","Sticker Singles","Size","2"" x 2""","0","https://www.vistaprint.com/labels-stickers/custom-stickers/single-stickers"
"custom-stickers","Sticker Singles","Material","White Plastic (BOPP)","0","https://www.vistaprint.com/labels-stickers/custom-stickers/single-stickers"
"roll-labels","Roll Labels","Shapes","Circle","0","https://www.vistaprint.com/labels-stickers/roll-labels"
"roll-labels","Roll Labels","Shapes","Oval","0","https://www.vistaprint.com/labels-stickers/roll-labels"
"roll-labels","Roll Labels","Shapes","Rounded Square","0","https://www.vistaprint.com/labels-stickers/roll-labels"
"roll-labels","Roll Labels","Shapes","Rounded Rectangle","0","https://www.vistaprint.com/labels-stickers/roll-labels"
"roll-labels","Roll Labels","Shapes","Custom (Die-Cut)","0","https://www.vistaprint.com/labels-stickers/roll-labels"
"roll-labels","Roll Labels","Roll Style","Multi-Column Roll","0","https://www.vistaprint.com/labels-stickers/roll-labels"
"sheet-labels","Sheet Stickers","Shape","Custom (Die-Cut)","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"
"sheet-labels","Sheet Stickers","Shape","Circle","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"
"sheet-labels","Sheet Stickers","Shape","Oval","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"
"sheet-labels","Sheet Stickers","Shape","Rounded Rectangle","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"
"sheet-labels","Sheet Stickers","Shape","Rounded Square","0","https://www.vistaprint.com/labels-stickers/custom-stickers/sheet-stickers"